,Category,is_completed,problem_name,problem_url,difficulty_level,youtube_url
0,"Arrays & Hashing
(0 / 9)",False,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,Easy,https://youtu.be/3OamzN90kPg
1,"Arrays & Hashing
(0 / 9)",False,Valid Anagram,https://leetcode.com/problems/valid-anagram/,Easy,https://youtu.be/9UtInBqnCgA
2,"Arrays & Hashing
(0 / 9)",False,Two Sum,https://leetcode.com/problems/two-sum/,Easy,https://www.youtube.com/watch?v=KLlXCFG5TnA
3,"Arrays & Hashing
(0 / 9)",False,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,https://www.youtube.com/watch?v=vzdNOK2oB2E
4,"Arrays & Hashing
(0 / 9)",False,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,Medium,https://www.youtube.com/watch?v=YPTqKIgVk-k
5,"Arrays & Hashing
(0 / 9)",False,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,Medium,https://www.youtube.com/watch?v=bNvIQI2wAjk
6,"Arrays & Hashing
(0 / 9)",False,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,Medium,https://www.youtube.com/watch?v=TjFXEUCMqI8
7,"Arrays & Hashing
(0 / 9)",False,Encode and Decode Strings,https://leetcode.com/problems/encode-and-decode-strings/,Medium,https://www.youtube.com/watch?v=B1k_sxOSgv8
8,"Arrays & Hashing
(0 / 9)",False,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,Medium,https://www.youtube.com/watch?v=P6RZZMu_maU
9,"Two Pointers
(0 / 5)",False,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,Easy,https://www.youtube.com/watch?v=P6RZZMu_maU
10,"Two Pointers
(0 / 5)",False,Two Sum II,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,Medium,https://www.youtube.com/watch?v=P6RZZMu_maU
11,"Two Pointers
(0 / 5)",False,3Sum,https://leetcode.com/problems/3sum/,Medium,https://www.youtube.com/watch?v=P6RZZMu_maU
12,"Two Pointers
(0 / 5)",False,Container with Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,https://www.youtube.com/watch?v=P6RZZMu_maU
13,"Two Pointers
(0 / 5)",False,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,https://www.youtube.com/watch?v=P6RZZMu_maU
14,"Sliding Window
(0 / 6)",False,Best Time to Buy & Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,https://www.youtube.com/watch?v=P6RZZMu_maU
15,"Sliding Window
(0 / 6)",False,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,https://www.youtube.com/watch?v=P6RZZMu_maU
16,"Sliding Window
(0 / 6)",False,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/,Medium,https://www.youtube.com/watch?v=P6RZZMu_maU
17,"Sliding Window
(0 / 6)",False,Permutation in String,https://leetcode.com/problems/permutation-in-string/,Medium,https://www.youtube.com/watch?v=P6RZZMu_maU
18,"Sliding Window
(0 / 6)",False,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,Hard,https://www.youtube.com/watch?v=P6RZZMu_maU
